chamado_id,hospital_id,equipamento_id,falha_id,tecnico_id,tipo_chamado,status,data_abertura,data_fechamento,prioridade,descricao,tempo_resposta_horas
17,2,17,13,32,corretiva,atribuido,2026-05-31 04:02:00,,medio,Parada por falha em arco cirurgico. Prioridade medio.,
18,2,18,,42,preventiva,concluido,2026-04-07 09:00:00,2026-04-08 10:00:00,medio,Chamado preventiva para arco cirurgico. Motivo: desgaste elevado. Prioridade medio.,25
19,2,19,,17,preventiva,concluido,2026-04-01 00:00:00,2026-04-01 16:00:00,baixo,Chamado preventiva para pet. Motivo: MTBF proximo do vencimento. Prioridade baixo.,16
20,2,20,14,,corretiva,nao atribuido,2026-05-29 03:11:00,,baixo,Parada por falha em ressonancia magnetica. Prioridade baixo.,
21,2,21,15,37,corretiva,concluido,2026-01-03 10:42:00,2026-01-04 05:42:00,alto,Parada por falha em tc. Prioridade alto.,19
22,2,22,16,7,corretiva,em andamento,2026-05-29 03:06:00,,alto,Parada por falha em tc. Prioridade alto.,
23,2,23,17,,corretiva,nao atribuido,2026-06-02 11:24:00,,alto,Parada por falha em ultrassom. Prioridade alto.,
24,2,24,18,6,corretiva,em andamento,2026-05-28 23:51:00,,baixo,Parada por falha em pet. Prioridade baixo.,
25,2,25,19,55,corretiva,concluido,2026-04-15 12:05:00,2026-04-15 21:05:00,medio,Parada por falha em tc. Prioridade medio.,9
26,2,26,20,2,corretiva,concluido,2026-04-07 08:37:00,2026-04-07 22:37:00,baixo,Parada por falha em angiografia. Prioridade baixo.,14
27,2,27,21,22,corretiva,atribuido,2026-05-30 00:38:00,,alto,Parada por falha em angiografia. Prioridade alto.,
28,2,28,22,56,corretiva,atribuido,2026-06-04 03:30:00,,alto,Parada por falha em ressonancia magnetica. Prioridade alto.,
29,2,29,23,47,corretiva,em andamento,2026-06-04 11:53:00,,alto,Parada por falha em tc. Prioridade alto.,
30,2,30,24,25,corretiva,em andamento,2026-05-24 23:14:00,,medio,Parada por falha em pet. Prioridade medio.,
31,2,31,25,4,corretiva,atribuido,2026-05-27 10:56:00,,baixo,Parada por falha em raio x. Prioridade baixo.,
32,2,32,,56,preventiva,concluido,2026-01-16 10:00:00,2026-01-17 08:00:00,alto,Chamado preventiva para ressonancia magnetica. Motivo: desgaste elevado. Prioridade alto.,22
33,3,33,26,23,corretiva,em andamento,2026-05-28 02:11:00,,medio,Parada por falha em ultrassom. Prioridade medio.,
34,3,34,,40,preventiva,concluido,2026-05-02 02:00:00,2026-05-02 19:00:00,medio,Chamado preventiva para ultrassom. Motivo: desgaste elevado. Prioridade medio.,17
35,3,35,27,6,corretiva,atribuido,2026-05-27 01:51:00,,medio,Parada por falha em angiografia. Prioridade medio.,
36,3,36,28,12,corretiva,em andamento,2026-05-26 02:44:00,,alto,Parada por falha em angiografia. Prioridade alto.,
37,3,37,29,,corretiva,nao atribuido,2026-05-30 02:49:00,,medio,Parada por falha em pet. Prioridade medio.,
38,3,38,30,,corretiva,nao atribuido,2026-05-25 01:56:00,,medio,Parada por falha em ultrassom. Prioridade medio.,
39,3,39,,57,preventiva,concluido,2026-02-13 02:00:00,2026-02-13 17:00:00,medio,Chamado preventiva para arco cirurgico. Motivo: desgaste elevado. Prioridade medio.,15
40,3,40,31,59,corretiva,concluido,2026-01-16 09:48:00,2026-01-17 02:48:00,alto,Parada por falha em ultrassom. Prioridade alto.,17
41,3,41,32,1,corretiva,concluido,2026-02-07 14:58:00,2026-02-08 01:58:00,alto,Parada por falha em ressonancia magnetica. Prioridade alto.,11
42,3,42,33,21,corretiva,concluido,2026-01-02 15:59:00,2026-01-03 13:59:00,medio,Parada por falha em pet. Prioridade medio.,22
43,3,43,34,31,corretiva,concluido,2025-12-31 16:52:00,2026-01-01 05:52:00,baixo,Parada por falha em tc. Prioridade baixo.,13
44,3,44,35,3,corretiva,em andamento,2026-05-27 15:33:00,,baixo,Parada por falha em raio x. Prioridade baixo.,
45,3,45,36,49,corretiva,concluido,2026-03-15 06:18:00,2026-03-15 22:18:00,medio,Parada por falha em tc. Prioridade medio.,16
46,3,46,37,23,corretiva,atribuido,2026-06-04 14:56:00,,medio,Parada por falha em ultrassom. Prioridade medio.,
47,3,47,38,6,corretiva,concluido,2026-01-05 21:15:00,2026-01-06 09:15:00,medio,Parada por falha em raio x. Prioridade medio.,12
48,3,48,39,42,corretiva,concluido,2026-05-01 21:21:00,2026-05-02 05:21:00,medio,Parada por falha em arco cirurgico. Prioridade medio.,8
49,4,49,40,29,corretiva,concluido,2026-04-17 01:26:00,2026-04-17 21:26:00,alto,Parada por falha em arco cirurgico. Prioridade alto.,20
50,4,50,,7,preventiva,concluido,2026-05-19 01:00:00,2026-05-20 09:00:00,medio,Chamado preventiva para angiografia. Motivo: desgaste elevado. Prioridade medio.,32
51,4,51,41,,corretiva,nao atribuido,2026-05-29 17:12:00,,baixo,Parada por falha em ultrassom. Prioridade baixo.,
52,4,52,42,,corretiva,nao atribuido,2026-06-03 01:12:00,,baixo,Parada por falha em angiografia. Prioridade baixo.,
53,4,53,,49,preventiva,concluido,2026-03-31 16:00:00,2026-04-01 09:00:00,medio,Chamado preventiva para angiografia. Motivo: MTBF proximo do vencimento. Prioridade medio.,17
54,4,54,43,50,corretiva,atribuido,2026-05-29 12:07:00,,medio,Parada por falha em ultrassom. Prioridade medio.,
55,4,55,,21,preventiva,concluido,2026-01-27 20:00:00,2026-01-29 02:00:00,medio,Chamado preventiva para ultrassom. Motivo: desgaste elevado. Prioridade medio.,30
56,4,56,44,5,corretiva,concluido,2026-04-22 02:49:00,2026-04-22 21:49:00,medio,Parada por falha em angiografia. Prioridade medio.,19
57,4,57,45,,corretiva,nao atribuido,2026-05-26 06:30:00,,medio,Parada por falha em ressonancia magnetica. Prioridade medio.,
58,4,58,46,17,corretiva,concluido,2026-05-10 12:35:00,2026-05-10 21:35:00,medio,Parada por falha em ressonancia magnetica. Prioridade medio.,9
59,4,59,47,,corretiva,nao atribuido,2026-05-25 15:33:00,,medio,Parada por falha em arco cirurgico. Prioridade medio.,
60,4,60,48,,corretiva,nao atribuido,2026-05-30 07:53:00,,medio,Parada por falha em arco cirurgico. Prioridade medio.,
61,4,61,49,1,corretiva,atribuido,2026-05-26 02:18:00,,medio,Parada por falha em raio x. Prioridade medio.,
62,4,62,50,32,corretiva,em andamento,2026-06-01 18:37:00,,alto,Parada por falha em arco cirurgico. Prioridade alto.,
63,4,63,51,30,corretiva,atribuido,2026-05-28 12:11:00,,baixo,Parada por falha em angiografia. Prioridade baixo.,
64,4,64,,48,preventiva,concluido,2026-05-01 11:00:00,2026-05-02 19:00:00,baixo,Chamado preventiva para ressonancia magnetica. Motivo: MTBF proximo do vencimento. Prioridade baixo.,32
65,5,65,,56,preventiva,concluido,2026-03-15 14:00:00,2026-03-16 02:00:00,baixo,Chamado preventiva para raio x. Motivo: desgaste elevado. Prioridade baixo.,12
66,5,66,52,,corretiva,nao atribuido,2026-05-25 16:16:00,,alto,Parada por falha em ultrassom. Prioridade alto.,
67,5,67,53,14,corretiva,atribuido,2026-05-25 08:24:00,,baixo,Parada por falha em angiografia. Prioridade baixo.,
68,5,68,54,22,corretiva,concluido,2026-04-24 00:58:00,2026-04-24 19:58:00,medio,Parada por falha em tc. Prioridade medio.,19
69,5,69,,55,preventiva,concluido,2026-05-20 22:00:00,2026-05-21 19:00:00,alto,Chamado preventiva para pet. Motivo: MTBF proximo do vencimento. Prioridade alto.,21
70,5,70,55,31,corretiva,concluido,2026-01-05 18:39:00,2026-01-06 00:39:00,baixo,Parada por falha em tc. Prioridade baixo.,6
71,5,71,56,13,corretiva,atribuido,2026-06-04 12:41:00,,baixo,Parada por falha em tc. Prioridade baixo.,
72,5,72,57,35,corretiva,concluido,2026-04-05 04:32:00,2026-04-05 14:32:00,alto,Parada por falha em raio x. Prioridade alto.,10
73,5,73,,28,preventiva,concluido,2026-01-27 08:00:00,2026-01-28 21:00:00,baixo,Chamado preventiva para raio x. Motivo: MTBF proximo do vencimento. Prioridade baixo.,37
74,5,74,,54,preventiva,concluido,2026-01-26 10:00:00,2026-01-27 13:00:00,alto,Chamado preventiva para raio x. Motivo: desgaste elevado. Prioridade alto.,27
75,5,75,58,29,corretiva,concluido,2026-02-07 06:45:00,2026-02-07 16:45:00,baixo,Parada por falha em angiografia. Prioridade baixo.,10
76,5,76,59,24,corretiva,concluido,2026-02-10 07:13:00,2026-02-11 01:13:00,baixo,Parada por falha em ultrassom. Prioridade baixo.,18
77,5,77,60,32,corretiva,concluido,2026-02-27 22:05:00,2026-02-28 09:05:00,baixo,Parada por falha em angiografia. Prioridade baixo.,11
78,5,78,61,51,corretiva,atribuido,2026-06-03 08:30:00,,alto,Parada por falha em pet. Prioridade alto.,
79,5,79,62,,corretiva,nao atribuido,2026-05-25 01:55:00,,baixo,Parada por falha em arco cirurgico. Prioridade baixo.,
80,5,80,63,,corretiva,nao atribuido,2026-05-30 03:33:00,,baixo,Parada por falha em ressonancia magnetica. Prioridade baixo.,
81,6,81,64,,corretiva,nao atribuido,2026-05-30 00:05:00,,alto,Parada por falha em pet. Prioridade alto.,
82,6,82,,45,preventiva,concluido,2026-04-17 19:00:00,2026-04-19 08:00:00,baixo,Chamado preventiva para ultrassom. Motivo: desgaste elevado. Prioridade baixo.,37
83,6,83,65,,corretiva,nao atribuido,2026-05-24 22:04:00,,alto,Parada por falha em raio x. Prioridade alto.,
84,6,84,66,30,corretiva,atribuido,2026-06-02 01:22:00,,baixo,Parada por falha em ultrassom. Prioridade baixo.,
85,6,85,,50,preventiva,concluido,2026-04-22 08:00:00,2026-04-24 04:00:00,medio,Chamado preventiva para ressonancia magnetica. Motivo: MTBF proximo do vencimento. Prioridade medio.,44
86,6,86,67,40,corretiva,em andamento,2026-06-02 04:24:00,,medio,Parada por falha em ultrassom. Prioridade medio.,
87,6,87,68,30,corretiva,em andamento,2026-05-28 12:51:00,,medio,Parada por falha em ultrassom. Prioridade medio.,
88,6,88,,59,preventiva,concluido,2026-01-23 00:00:00,2026-01-24 10:00:00,medio,Chamado preventiva para ultrassom. Motivo: MTBF proximo do vencimento. Prioridade medio.,34
89,6,89,,15,preventiva,concluido,2026-04-09 21:00:00,2026-04-11 03:00:00,baixo,Chamado preventiva para pet. Motivo: desgaste elevado. Prioridade baixo.,30
90,6,90,69,53,corretiva,concluido,2026-03-13 16:46:00,2026-03-14 07:46:00,medio,Parada por falha em raio x. Prioridade medio.,15
91,6,91,70,18,corretiva,atribuido,2026-06-01 08:48:00,,alto,Parada por falha em arco cirurgico. Prioridade alto.,
92,6,92,,10,preventiva,concluido,2026-01-08 11:00:00,2026-01-10 17:00:00,baixo,Chamado preventiva para ultrassom. Motivo: desgaste elevado. Prioridade baixo.,54
93,6,93,71,47,corretiva,atribuido,2026-05-30 00:49:00,,alto,Parada por falha em tc. Prioridade alto.,
94,6,94,72,18,corretiva,em andamento,2026-06-04 07:20:00,,alto,Parada por falha em pet. Prioridade alto.,
95,6,95,73,32,corretiva,concluido,2026-04-02 23:41:00,2026-04-03 10:41:00,alto,Parada por falha em pet. Prioridade alto.,11
96,6,96,74,,corretiva,nao atribuido,2026-06-03 15:37:00,,medio,Parada por falha em arco cirurgico. Prioridade medio.,
97,7,97,75,27,corretiva,atribuido,2026-06-01 08:02:00,,alto,Parada por falha em arco cirurgico. Prioridade alto.,
98,7,98,76,,corretiva,nao atribuido,2026-05-25 04:28:00,,alto,Parada por falha em ressonancia magnetica. Prioridade alto.,
99,7,99,77,19,corretiva,concluido,2026-01-27 18:26:00,2026-01-28 07:26:00,medio,Parada por falha em arco cirurgico. Prioridade medio.,13
100,7,100,78,32,corretiva,concluido,2025-12-29 06:34:00,2025-12-29 21:34:00,medio,Parada por falha em pet. Prioridade medio.,15
101,7,101,79,44,corretiva,concluido,2026-04-07 08:52:00,2026-04-08 01:52:00,alto,Parada por falha em ultrassom. Prioridade alto.,17
102,7,102,80,16,corretiva,em andamento,2026-06-02 17:37:00,,medio,Parada por falha em tc. Prioridade medio.,
103,7,103,81,29,corretiva,concluido,2026-05-14 03:22:00,2026-05-14 21:22:00,baixo,Parada por falha em arco cirurgico. Prioridade baixo.,18
104,7,104,82,,corretiva,nao atribuido,2026-06-04 05:51:00,,baixo,Parada por falha em arco cirurgico. Prioridade baixo.,
105,7,105,83,53,corretiva,concluido,2026-02-16 23:24:00,2026-02-17 06:24:00,baixo,Parada por falha em ressonancia magnetica. Prioridade baixo.,7
106,7,106,84,31,corretiva,atribuido,2026-05-25 21:17:00,,alto,Parada por falha em raio x. Prioridade alto.,
107,7,107,85,4,corretiva,concluido,2026-02-17 09:37:00,2026-02-17 19:37:00,medio,Parada por falha em ultrassom. Prioridade medio.,10
108,7,108,86,29,corretiva,em andamento,2026-06-03 22:20:00,,baixo,Parada por falha em angiografia. Prioridade baixo.,
109,7,109,,22,preventiva,concluido,2026-02-28 21:00:00,2026-03-02 18:00:00,medio,Chamado preventiva para angiografia. Motivo: MTBF proximo do vencimento. Prioridade medio.,45
110,7,110,,37,preventiva,concluido,2026-02-28 09:00:00,2026-03-01 17:00:00,medio,Chamado preventiva para angiografia. Motivo: MTBF proximo do vencimento. Prioridade medio.,32
111,7,111,,40,preventiva,concluido,2026-01-14 10:00:00,2026-01-16 04:00:00,alto,Chamado preventiva para raio x. Motivo: desgaste elevado. Prioridade alto.,42
112,7,112,87,18,corretiva,atribuido,2026-05-24 19:12:00,,medio,Parada por falha em pet. Prioridade medio.,
113,8,113,,16,preventiva,concluido,2026-01-20 13:00:00,2026-01-21 23:00:00,alto,Chamado preventiva para tc. Motivo: desgaste elevado. Prioridade alto.,34
114,8,114,88,,corretiva,nao atribuido,2026-06-04 00:38:00,,medio,Parada por falha em ressonancia magnetica. Prioridade medio.,
115,8,115,,41,preventiva,concluido,2026-01-10 20:00:00,2026-01-12 21:00:00,baixo,Chamado preventiva para raio x. Motivo: desgaste elevado. Prioridade baixo.,49
116,8,116,89,34,corretiva,atribuido,2026-05-30 05:55:00,,medio,Parada por falha em angiografia. Prioridade medio.,
117,8,117,90,60,corretiva,concluido,2026-03-17 03:18:00,2026-03-17 16:18:00,baixo,Parada por falha em raio x. Prioridade baixo.,13
118,8,118,,15,preventiva,concluido,2026-02-28 19:00:00,2026-03-02 09:00:00,medio,Chamado preventiva para ressonancia magnetica. Motivo: MTBF proximo do vencimento. Prioridade medio.,38
119,8,119,91,14,corretiva,concluido,2026-01-09 11:44:00,2026-01-09 20:44:00,baixo,Parada por falha em pet. Prioridade baixo.,9
120,8,120,92,,corretiva,nao atribuido,2026-06-02 11:55:00,,medio,Parada por falha em angiografia. Prioridade medio.,
121,8,121,93,7,corretiva,em andamento,2026-05-27 15:52:00,,medio,Parada por falha em raio x. Prioridade medio.,
122,8,122,94,48,corretiva,concluido,2026-03-27 23:31:00,2026-03-28 05:31:00,alto,Parada por falha em ressonancia magnetica. Prioridade alto.,6
123,8,123,95,47,corretiva,concluido,2026-03-20 03:56:00,2026-03-20 16:56:00,alto,Parada por falha em tc. Prioridade alto.,13
124,8,124,96,53,corretiva,concluido,2026-02-24 15:23:00,2026-02-25 02:23:00,baixo,Parada por falha em ressonancia magnetica. Prioridade baixo.,11
125,8,125,97,,corretiva,nao atribuido,2026-05-27 00:00:00,,alto,Parada por falha em pet. Prioridade alto.,
126,8,126,98,,corretiva,nao atribuido,2026-06-04 07:28:00,,baixo,Parada por falha em raio x. Prioridade baixo.,
127,8,127,99,54,corretiva,concluido,2026-01-29 20:36:00,2026-01-30 10:36:00,alto,Parada por falha em ressonancia magnetica. Prioridade alto.,14
128,8,128,100,,corretiva,nao atribuido,2026-05-28 12:39:00,,baixo,Parada por falha em raio x. Prioridade baixo.,
129,9,129,101,,corretiva,nao atribuido,2026-06-03 23:14:00,,alto,Parada por falha em ressonancia magnetica. Prioridade alto.,
130,9,130,102,,corretiva,nao atribuido,2026-06-01 06:54:00,,medio,Parada por falha em ressonancia magnetica. Prioridade medio.,
131,9,131,103,,corretiva,nao atribuido,2026-05-27 03:00:00,,alto,Parada por falha em tc. Prioridade alto.,
132,9,132,,10,preventiva,concluido,2025-12-29 21:00:00,2026-01-01 00:00:00,baixo,Chamado preventiva para arco cirurgico. Motivo: desgaste elevado. Prioridade baixo.,51
133,9,133,104,57,corretiva,em andamento,2026-05-29 20:42:00,,baixo,Parada por falha em arco cirurgico. Prioridade baixo.,
134,9,134,105,58,corretiva,concluido,2026-02-16 05:05:00,2026-02-16 13:05:00,medio,Parada por falha em tc. Prioridade medio.,8
135,9,135,,24,preventiva,concluido,2026-02-13 21:00:00,2026-02-14 07:00:00,medio,Chamado preventiva para ultrassom. Motivo: desgaste elevado. Prioridade medio.,10
136,9,136,106,18,corretiva,concluido,2026-05-20 16:45:00,2026-05-21 08:45:00,alto,Parada por falha em raio x. Prioridade alto.,16
137,9,137,107,8,corretiva,concluido,2026-04-11 05:01:00,2026-04-11 14:01:00,medio,Parada por falha em arco cirurgico. Prioridade medio.,9
138,9,138,,6,preventiva,concluido,2026-02-25 01:00:00,2026-02-26 03:00:00,medio,Chamado preventiva para tc. Motivo: desgaste elevado. Prioridade medio.,26
139,9,139,108,,corretiva,nao atribuido,2026-05-26 00:46:00,,alto,Parada por falha em tc. Prioridade alto.,
140,9,140,109,31,corretiva,concluido,2026-04-30 13:26:00,2026-04-30 23:26:00,alto,Parada por falha em tc. Prioridade alto.,10
141,9,141,110,51,corretiva,atribuido,2026-06-03 10:10:00,,alto,Parada por falha em angiografia. Prioridade alto.,
142,9,142,111,40,corretiva,concluido,2026-03-06 16:27:00,2026-03-07 07:27:00,medio,Parada por falha em ultrassom. Prioridade medio.,15
143,9,143,112,,corretiva,nao atribuido,2026-06-02 03:22:00,,alto,Parada por falha em pet. Prioridade alto.,
144,9,144,113,27,corretiva,concluido,2026-01-29 12:16:00,2026-01-29 17:16:00,alto,Parada por falha em raio x. Prioridade alto.,5
145,10,145,,15,preventiva,concluido,2026-04-06 11:00:00,2026-04-07 23:00:00,alto,Chamado preventiva para tc. Motivo: desgaste elevado. Prioridade alto.,36
146,10,146,,44,preventiva,concluido,2026-04-17 07:00:00,2026-04-19 01:00:00,baixo,Chamado preventiva para ultrassom. Motivo: MTBF proximo do vencimento. Prioridade baixo.,42
147,10,147,114,,corretiva,nao atribuido,2026-06-04 12:11:00,,alto,Parada por falha em arco cirurgico. Prioridade alto.,
148,10,148,,7,preventiva,concluido,2026-01-30 02:00:00,2026-01-31 06:00:00,medio,Chamado preventiva para angiografia. Motivo: MTBF proximo do vencimento. Prioridade medio.,28
149,10,149,,40,preventiva,concluido,2026-03-18 09:00:00,2026-03-18 17:00:00,baixo,Chamado preventiva para pet. Motivo: MTBF proximo do vencimento. Prioridade baixo.,8
150,10,150,115,4,corretiva,concluido,2026-01-04 22:11:00,2026-01-05 10:11:00,alto,Parada por falha em ultrassom. Prioridade alto.,12
151,10,151,116,4,corretiva,em andamento,2026-06-03 23:00:00,,medio,Parada por falha em tc. Prioridade medio.,
152,10,152,117,,corretiva,nao atribuido,2026-05-27 08:13:00,,baixo,Parada por falha em ultrassom. Prioridade baixo.,
153,10,153,118,,corretiva,nao atribuido,2026-05-26 03:46:00,,alto,Parada por falha em arco cirurgico. Prioridade alto.,
154,10,154,119,,corretiva,nao atribuido,2026-05-31 15:00:00,,baixo,Parada por falha em tc. Prioridade baixo.,
155,10,155,120,1,corretiva,em andamento,2026-05-30 14:50:00,,medio,Parada por falha em raio x. Prioridade medio.,
156,10,156,121,40,corretiva,atribuido,2026-06-02 05:26:00,,alto,Parada por falha em ultrassom. Prioridade alto.,
157,10,157,122,25,corretiva,concluido,2025-12-31 01:05:00,2025-12-31 16:05:00,alto,Parada por falha em pet. Prioridade alto.,15
158,10,158,,30,preventiva,concluido,2026-02-01 23:00:00,2026-02-03 05:00:00,medio,Chamado preventiva para tc. Motivo: desgaste elevado. Prioridade medio.,30
159,10,159,123,32,corretiva,concluido,2026-01-20 09:39:00,2026-01-20 20:39:00,medio,Parada por falha em raio x. Prioridade medio.,11
160,10,160,124,,corretiva,nao atribuido,2026-05-25 17:49:00,,medio,Parada por falha em angiografia. Prioridade medio.,
161,11,161,125,10,corretiva,concluido,2026-02-15 15:23:00,2026-02-16 11:23:00,baixo,Parada por falha em angiografia. Prioridade baixo.,20
162,11,162,126,46,corretiva,em andamento,2026-05-28 13:00:00,,baixo,Parada por falha em tc. Prioridade baixo.,
163,11,163,127,,corretiva,nao atribuido,2026-05-24 18:56:00,,baixo,Parada por falha em raio x. Prioridade baixo.,
164,11,164,128,7,corretiva,concluido,2026-02-05 07:32:00,2026-02-05 13:32:00,medio,Parada por falha em angiografia. Prioridade medio.,6
165,11,165,129,24,corretiva,concluido,2026-01-21 23:12:00,2026-01-22 18:12:00,baixo,Parada por falha em ultrassom. Prioridade baixo.,19
166,11,166,130,,corretiva,nao atribuido,2026-06-01 16:56:00,,baixo,Parada por falha em pet. Prioridade baixo.,
167,11,167,131,40,corretiva,em andamento,2026-05-25 18:47:00,,alto,Parada por falha em ultrassom. Prioridade alto.,
168,11,168,132,17,corretiva,atribuido,2026-06-01 07:15:00,,medio,Parada por falha em pet. Prioridade medio.,
169,11,169,133,55,corretiva,concluido,2026-02-28 09:36:00,2026-02-28 17:36:00,alto,Parada por falha em pet. Prioridade alto.,8
170,11,170,134,37,corretiva,atribuido,2026-06-04 00:25:00,,alto,Parada por falha em tc. Prioridade alto.,
171,11,171,135,14,corretiva,atribuido,2026-05-28 04:19:00,,medio,Parada por falha em pet. Prioridade medio.,
172,11,172,136,20,corretiva,concluido,2026-02-04 23:46:00,2026-02-05 06:46:00,baixo,Parada por falha em arco cirurgico. Prioridade baixo.,7
173,11,173,,25,preventiva,concluido,2026-04-12 12:00:00,2026-04-13 21:00:00,alto,Chamado preventiva para ressonancia magnetica. Motivo: desgaste elevado. Prioridade alto.,33
174,11,174,137,18,corretiva,atribuido,2026-05-28 05:44:00,,alto,Parada por falha em raio x. Prioridade alto.,
175,11,175,138,,corretiva,nao atribuido,2026-05-28 15:36:00,,medio,Parada por falha em raio x. Prioridade medio.,
176,11,176,139,,corretiva,nao atribuido,2026-06-01 11:48:00,,baixo,Parada por falha em pet. Prioridade baixo.,
177,12,177,140,33,corretiva,em andamento,2026-06-03 15:00:00,,alto,Parada por falha em arco cirurgico. Prioridade alto.,
178,12,178,141,7,corretiva,concluido,2026-01-06 12:25:00,2026-01-07 01:25:00,alto,Parada por falha em angiografia. Prioridade alto.,13
179,12,179,142,9,corretiva,atribuido,2026-06-01 15:30:00,,baixo,Parada por falha em angiografia. Prioridade baixo.,
180,12,180,143,42,corretiva,atribuido,2026-06-03 00:20:00,,baixo,Parada por falha em arco cirurgico. Prioridade baixo.,
181,12,181,144,49,corretiva,em andamento,2026-06-02 04:00:00,,medio,Parada por falha em angiografia. Prioridade medio.,
182,12,182,145,51,corretiva,concluido,2026-01-13 10:08:00,2026-01-13 21:08:00,medio,Parada por falha em tc. Prioridade medio.,11
183,12,183,146,4,corretiva,concluido,2025-12-30 06:57:00,2025-12-30 21:57:00,baixo,Parada por falha em raio x. Prioridade baixo.,15
184,12,184,147,32,corretiva,concluido,2026-01-04 21:31:00,2026-01-05 03:31:00,alto,Parada por falha em pet. Prioridade alto.,6
185,12,185,148,9,corretiva,em andamento,2026-06-01 12:52:00,,alto,Parada por falha em tc. Prioridade alto.,
186,12,186,149,37,corretiva,concluido,2026-04-15 21:11:00,2026-04-16 20:11:00,alto,Parada por falha em angiografia. Prioridade alto.,23
187,12,187,,30,preventiva,concluido,2026-02-04 07:00:00,2026-02-05 19:00:00,baixo,Chamado preventiva para ultrassom. Motivo: desgaste elevado. Prioridade baixo.,36
188,12,188,,25,preventiva,concluido,2026-03-26 06:00:00,2026-03-26 23:00:00,baixo,Chamado preventiva para ultrassom. Motivo: desgaste elevado. Prioridade baixo.,17
189,12,189,,48,preventiva,concluido,2026-01-29 07:00:00,2026-01-29 19:00:00,medio,Chamado preventiva para pet. Motivo: desgaste elevado. Prioridade medio.,12
190,12,190,150,,corretiva,nao atribuido,2026-05-29 07:24:00,,medio,Parada por falha em arco cirurgico. Prioridade medio.,
191,12,191,151,,corretiva,nao atribuido,2026-06-01 14:44:00,,medio,Parada por falha em pet. Prioridade medio.,
192,12,192,152,23,corretiva,concluido,2026-01-07 03:20:00,2026-01-07 22:20:00,medio,Parada por falha em pet. Prioridade medio.,19
193,13,193,153,17,corretiva,concluido,2026-01-15 18:57:00,2026-01-16 03:57:00,baixo,Parada por falha em pet. Prioridade baixo.,9
194,13,194,154,13,corretiva,atribuido,2026-06-01 13:39:00,,baixo,Parada por falha em arco cirurgico. Prioridade baixo.,
195,13,195,155,37,corretiva,atribuido,2026-05-31 11:41:00,,medio,Parada por falha em raio x. Prioridade medio.,
196,13,196,156,8,corretiva,concluido,2026-04-23 05:55:00,2026-04-23 20:55:00,baixo,Parada por falha em arco cirurgico. Prioridade baixo.,15
197,13,197,157,37,corretiva,atribuido,2026-06-02 12:15:00,,baixo,Parada por falha em raio x. Prioridade baixo.,
198,13,198,158,53,corretiva,concluido,2026-05-06 02:41:00,2026-05-06 22:41:00,baixo,Parada por falha em raio x. Prioridade baixo.,20
